timestamp,lat,lon,alt,rel_alt,speed
2026-07-08 08:08:00.853064+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:00.951859+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:00.969739+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.054104+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.069739+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.152309+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.169739+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.252588+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.269739+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.350539+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.369739+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.450535+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.469739+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.550434+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.569739+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.648737+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.669739+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.754367+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.769739+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.869739+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:01.969172+00:00,47.6016529,12.1943276,-1.51,0.158,0.0
2026-07-08 08:08:02.069172+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:02.169172+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:02.269172+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:02.369172+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:02.469172+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:02.569172+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:02.669172+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:02.769172+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:02.869172+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:02.969772+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:03.069772+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:03.169772+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:03.269772+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:03.369772+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:03.469772+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:03.569772+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:03.669772+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:03.769772+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:03.869772+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:03.969205+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:04.069205+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:04.169205+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:04.269205+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:04.369205+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:04.469205+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:04.569205+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:04.669205+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:04.769205+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:04.869205+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
2026-07-08 08:08:04.969805+00:00,47.6016529,12.1943276,-1.51,0.158,0.01
